1,17552952,0,33778142,0
2,2646856,0,4973475,0
3,1983321,0,3726371,0
4,1574205,0,2968081,0
5,1279635,0,2413059,0
6,1027199,0,1925331,0
7,844225,0,1603194,0
8,806170,0,1529391,0
9,807945,0,1538052,0
10,817796,0,1559699,0
11,827350,0,1589312,0
12,841862,0,1610855,0
13,847831,0,1600236,0
14,841106,0,1582536,0
15,818736,0,1558300,0
16,801986,0,1516890,0
17,794165,0,1496891,0
18,778641,0,1481871,0
19,768767,0,1465035,0
20,766753,0,1453740,0
21,768552,0,1464586,0
22,770814,0,1457994,0
23,773543,0,1468276,0
24,768508,0,1455169,0
25,768290,0,1446061,0
26,764179,1.190819e+06,1441780,2.261710e+06
27,757596,860923,1435184,1.626194e+06
28,753998,8.233377e+05,1425971,1.555653e+06
29,754199,7.989115e+05,1423042,1.509570e+06
30,757697,7.823446e+05,1425519,1.478290e+06
31,763696,7.715173e+05,1444945,1.457526e+06
32,764088,7.656291e+05,1451687,1.446057e+06
33,762394,7.630772e+05,1444113,1.440534e+06
34,771090,7.611764e+05,1449470,1.436371e+06
35,758810,7.592635e+05,1439662,1.432051e+06
36,749540,7.570959e+05,1428980,1.427249e+06
37,749371,7.548232e+05,1427969,1.422042e+06
38,740583,7.523196e+05,1419656,1.416539e+06
39,745734,7.499517e+05,1417381,1.411570e+06
40,752394,7.478239e+05,1420822,1.407326e+06
41,755211,7.463557e+05,1421885,1.403699e+06
42,764501,7.453068e+05,1418087,1.400952e+06
43,757142,7.444853e+05,1411477,1.398753e+06
44,754583,7.437080e+05,1409602,1.396721e+06
45,750030,7.431576e+05,1393057,1.394963e+06
46,731012,7.422934e+05,1374620,1.393122e+06
47,720746,7.412922e+05,1359792,1.390705e+06
48,721088,7.400968e+05,1353075,1.388223e+06
49,717154,7.387098e+05,1343736,1.385146e+06
50,720579,7.373489e+05,1355606,1.381989e+06
51,717157,7.359010e+05,1347559,1.378852e+06
52,728245,7.343504e+05,1366818,1.375506e+06
53,730004,7.329456e+05,1375900,1.372174e+06
54,737588,731595,1376126,1.369132e+06
55,729291,7.301638e+05,1372777,1.366168e+06
56,727441,7.287042e+05,1354126,1.362931e+06
57,726905,7.270051e+05,1340374,1.359242e+06
58,714074,7.251124e+05,1321531,1.355355e+06
59,709232,7.232267e+05,1317065,1.351023e+06
60,710385,7.208169e+05,1317736,1.346654e+06
61,707251,7.186235e+05,1314793,1.342196e+06
62,711439,7.165513e+05,1323802,1.337838e+06
63,714179,7.145576e+05,1330184,1.333539e+06
64,727071,7.128080e+05,1346808,1.329584e+06
65,732587,7.112028e+05,1366097,1.325851e+06
66,743859,7.095435e+05,1373330,1.322526e+06
67,748490,7.080896e+05,1376803,1.319623e+06
68,752268,7.066377e+05,1384706,1.317066e+06
69,738998,7.053779e+05,1378262,1.314906e+06
70,740701,7.041916e+05,1375384,1.312579e+06
71,722675,7.030774e+05,1359834,1.310558e+06
72,717493,7.023379e+05,1341341,1.308558e+06
73,709849,7.015226e+05,1331404,1.306889e+06
74,702805,7.007896e+05,1311336,1.305087e+06
75,699102,6.999301e+05,1294158,1.303381e+06
76,694448,6.990081e+05,1286094,1.301336e+06
77,685097,6.982417e+05,1271109,1.299405e+06
78,685952,6.973504e+05,1265243,1.297166e+06
79,685117,6.964316e+05,1270848,1.294573e+06
80,681209,6.953314e+05,1271890,1.292025e+06
81,683254,6.941734e+05,1260413,1.289539e+06
82,677046,6.930083e+05,1256832,1.287111e+06
83,667557,6.918521e+05,1253446,1.284774e+06
84,666226,690745,1223181,1.282740e+06
85,648190,6.896303e+05,1226632,1.280585e+06
86,646944,6.885772e+05,1212292,1.278501e+06
87,643858,6.875432e+05,1206715,1.276473e+06
88,647693,6.865279e+05,1208750,1.274186e+06
89,651353,6.853955e+05,1217938,1.271744e+06
90,663868,6.840443e+05,1226999,1.268944e+06
91,667770,6.825729e+05,1251235,1.265872e+06
92,681064,6.807663e+05,1273849,1.262468e+06
93,690453,6.787611e+05,1287656,1.258877e+06
94,692891,6.768305e+05,1301364,1.255143e+06
95,694083,6.751798e+05,1290921,1.251712e+06
96,693206,6.732685e+05,1289947,1.248281e+06
97,693299,6.719288e+05,1272627,1.245432e+06
98,679164,6.707023e+05,1274673,1.242902e+06
99,683707,6.696999e+05,1261175,1.240794e+06
100,673318,6.686675e+05,1256750,1.238894e+06
101,673557,6.677429e+05,1251320,1.237209e+06
102,678073,6.668254e+05,1249039,1.235684e+06
103,682787,6.659175e+05,1252661,1.234074e+06
104,683145,6.649378e+05,1243665,1.232444e+06
105,681479,6.638335e+05,1246159,1.230507e+06
106,670229,6.628030e+05,1245967,1.228473e+06
107,668022,6.617234e+05,1230308,1.226685e+06
108,667939,6.609035e+05,1221188,1.225102e+06
109,657613,6.602454e+05,1217819,1.223668e+06
110,652384,6.595374e+05,1207157,1.222846e+06
111,656677,6.591952e+05,1211423,1.222035e+06
112,654517,6.588611e+05,1211366,1.221275e+06
113,659655,6.584872e+05,1207166,1.220403e+06
114,656431,6.579298e+05,1205666,1.219360e+06
115,658159,6.569842e+05,1204028,1.217876e+06
116,657545,6.558313e+05,1209405,1.216166e+06
117,651720,6.547079e+05,1199730,1.213791e+06
118,646228,6.534007e+05,1193657,1.211405e+06
119,653804,6.521418e+05,1194274,1.209145e+06
120,654813,6.510149e+05,1203301,1.207074e+06
121,643224,6.500344e+05,1200358,1.205670e+06
122,654352,6.493056e+05,1214560,1.204587e+06
123,654939,6.482583e+05,1212321,1.203491e+06
124,658728,6.469405e+05,1223894,1.201265e+06
